. $ include < > ; void int char float double id ( ) [ digit ] { } = while do if else >= <= ! == != + - * / 
I80 . . . . . . . . . . . . sI93 . . . . . . . . . . . . . . . . . . . 
I82 . . . . . . . . . . sI47 . . . . . . . . sI44 . sI45 . . . . . . . . . . 
I81 . . . . . . . . . . r19 . . r19 . . . . . . . . . . . . . . . . . . 
I84 . . . . . . . . . . . . . . . r47 . . . . . . . . . . . . r47 r47 . . 
I83 . . . . . . . . . . . . . . . r57 . . . . . . . . . . . . sI108 sI109 . . 
I86 . . . . . . . . . . . . . . . r52 . . . . . . . . . . . . r52 r52 r52 r52 
I110 . . . . . . . . . . sI127 sI126 . . sI124 . . . . . . . . . . . . . . . . . 
I0 . sI4 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I85 . . . . . . . . . . . . . . . r51 . . . . . . . . . . . . r51 r51 sI112 sI113 
I1 ACC . . . . sI7 sI8 sI9 sI10 sI11 . . . . . . . . . . . . . . . . . . . . . . 
I88 . . . . . . . . . . sI120 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I112 . . . . . . . . . . sI132 sI131 . . sI129 . . . . . . . . . . . . . . . . . 
I2 r1 sI4 . . . r1 r1 r1 r1 r1 . . . . . . . . . . . . . . . . . . . . . . 
I87 . . . . . . . . . . . . . . . r53 . . . . . . . . . . . . r53 r53 r53 r53 
I111 . . . . . . . . . . sI127 sI126 . . sI124 . . . . . . . . . . . . . . . . . 
I3 r3 r3 . . . r3 r3 r3 r3 r3 . . . . . . . . . . . . . . . . . . . . . . 
I114 . . . . . . . . . . . . sI134 . . . . . . . . . . . . . . . sI135 sI136 . . 
I4 . . sI13 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I89 . . . . . . . . . . . . . . . r12 . . . . . . . . . . . . r12 r12 r12 r12 
I113 . . . . . . . . . . sI132 sI131 . . sI129 . . . . . . . . . . . . . . . . . 
I5 r2 . . . . r2 r2 r2 r2 r2 . . . . . . . . . . . . . . . . . . . . . . 
I116 . . . . . . . . . . . . r51 . . . . . . . . . . . . . . . r51 r51 sI138 sI139 
I6 . . . . . . . . . . sI17 . . . . . . . . . . . . . . . . . . . . . 
I115 . . . . . . . . . . . . r47 . . . . . . . . . . . . . . . r47 r47 . . 
I7 . . . . . . . . . . r7 . . . . . . . . . . . . . . . . . . . . . 
I118 . . . . . . . . . . . . r53 . . . . . . . . . . . . . . . r53 r53 r53 r53 
I8 . . . . . . . . . . r8 . . . . . . . . . . . . . . . . . . . . . 
I117 . . . . . . . . . . . . r52 . . . . . . . . . . . . . . . r52 r52 r52 r52 
I9 . . . . . . . . . . r9 . . . . . . . . . . . . . . . . . . . . . 
I119 . . . . . . . . . . sI120 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I91 . . . . . . . . . . . . . . . . sI94 . . . . . . . . . . . . . . . 
I90 . . . . . . . . . . r24 . . . . . . . . r24 . r24 . . . . . . . . . . 
I93 . . . . . . . . . . . . . . . . r37 . . . . . . . . . . . . . . . 
I92 . . . . . . . . . . sI78 sI77 . . sI75 . . . . . . . . . . . . . . . . . 
I95 . . . . . . . . . . sI47 . . . . . . sI141 . sI44 . sI45 . . . . . . . . . . 
I94 . . . . . . . . . . sI47 . . . . . . . . sI44 . sI45 . . . . . . . . . . 
I97 . . . . . . . . . . r39 . . . . . . . . . . . . . . . . . . . . . 
I96 . . . . . . . . . . sI50 . . . . . . . . . . . . . . . . . . . . . 
I11 . . . . . . . . . . r11 . . . . . . . . . . . . . . . . . . . . . 
I99 . . . . . . . . . . r41 . . . . . . . . . . . . . . . . . . . . . 
I101 . . . . . . . . . . r43 . . . . . . . . . . . . . . . . . . . . . 
I10 . . . . . . . . . . r10 . . . . . . . . . . . . . . . . . . . . . 
I98 . . . . . . . . . . r40 . . . . . . . . . . . . . . . . . . . . . 
I100 . . . . . . . . . . r42 . . . . . . . . . . . . . . . . . . . . . 
I13 . . . . . . . . . . sI15 . . . . . . . . . . . . . . . . . . . . . 
I103 . . . . . . . . . . r45 . . . . . . . . . . . . . . . . . . . . . 
I12 r4 r4 . . . r4 r4 r4 r4 r4 . . . . . . . . . . . . . . . . . . . . . . 
I102 . . . . . . . . . . r44 . . . . . . . . . . . . . . . . . . . . . 
I15 . . . r12 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I105 . . . . . . . . . . r31 . . . . . . r31 . r31 . r31 . . . . . . . . . . 
I14 . . . sI18 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I104 . . . . sI145 . . . . . . . . . . . . . . . . . . . . . . . sI106 sI107 . . 
I17 . . . . . . . . . . . r12 . . . . . . . . . . . . . . . . . . . . 
I107 . . . . . . . . . . sI147 sI77 . . sI75 . . . . . . . . . . . . . . . . . 
I16 . . . . . . . . . . . sI20 . . . . . . . . . . . . . . . . . . . . 
I106 . . . . . . . . . . sI147 sI77 . . sI75 . . . . . . . . . . . . . . . . . 
I19 . . . . . . . . . . . . . . . . sI22 . . . . . . . . . . . . . . . 
I109 . . . . . . . . . . sI150 sI88 . . sI86 . . . . . . . . . . . . . . . . . 
I18 . . . . sI23 . . . . . . . . . . . . . . . . . . . . . . . . . . . 
I108 . . . . . . . . . . sI150 sI88 . . sI86 . . . . . . . . . . . . . . . . . 
I130 . . . . . . . . . . . . . . . r53 . . . . . . . . . . . . r53 r53 . . 
I20 . . . . . . sI25 sI28 sI26 sI27 . . . . . . . . . . . . . . . . . . . . . . 
I132 . . . . . . . . . . . . . . . r12 . . . . . . . . . . . . r12 r12 . . 
I131 . . . . . . . . . . sI120 sI119 . . sI117 . . . . . . . . . . . . . . . . . 
I22 . . . . . . sI37 sI40 sI38 sI39 sI47 . . . . . . sI30 . sI44 . sI45 . . . . . . . . . . 
I134 . . . . r54 . . . . . . . . . . . . . . . . . . . . . . . r54 r54 r54 r54 
I21 r6 . . . . r6 r6 r6 r6 r6 . . . . . . . . . . . . . . . . . . . . . . 
