. <程序> <声明列表> <函数> <声明> <标识符> <修饰符> <形式参数> <复合语句> <数据类型> C1 <语句列表> <声明语句> <赋值语句> <语句> <条件语句> <循环语句> <Left> <表达式> <b> <S1> <S2> <逻辑表达式> <逻辑运算符> T F Elist 
I80 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I82 . . . . . . . . . . I95 . I35 I32 I34 I36 I43 . . I41 I42 . . . . I46 
I81 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I84 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I83 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I86 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I110 . . . . I125 . . . . . . . . . . . . . . . . . . . I123 . 
I0 I1 I2 . I3 . . . . . . . . . . . . . . . . . . . . . . 
I85 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I1 . . I5 . . I6 . . . . . . . . . . . . . . . . . . . . 
I88 . . . . I118 . . . . . . . . . . . . I121 . . . . . I115 I116 . 
I112 . . . . I130 . . . . . . . . . . . . . . . . . . . I128 . 
I2 . . . I12 . . . . . . . . . . . . . . . . . . . . . . 
I87 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I111 . . . . I125 . . . . . . . . . . . . . . . . . . . I133 . 
I3 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I114 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I4 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I89 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I113 . . . . I130 . . . . . . . . . . . . . . . . . . . I137 . 
I5 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I116 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I6 . . . . I16 . . . . . . . . . . . . . . . . . . . . . 
I115 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I7 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I118 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I8 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I117 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I9 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I119 . . . . I118 . . . . . . . . . . . . I140 . . . . . I115 I116 . 
I91 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I90 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I93 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I92 . . . . I76 . . . . . . . . . . . . I104 . . . . . I73 I74 . 
I95 . . . . . . . . . . . . I35 I68 I34 I36 I43 . . I41 I42 . . . . I46 
I94 . . . . . . . . . . I142 . I35 I32 I34 I36 I43 . . I41 I42 . . . . I46 
I97 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I96 . . . . I144 . . . . . . . . . . . . . . . . . . . . . 
I11 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I99 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I101 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I10 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I98 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I100 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I13 . . . . I14 . . . . . . . . . . . . . . . . . . . . . 
I103 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I12 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I102 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I15 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I105 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I14 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I104 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I17 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I107 . . . . I76 . . . . . . . . . . . . . . . . . . I146 I74 . 
I16 . . . . . . I19 . . . . . . . . . . . . . . . . . . . 
I106 . . . . I76 . . . . . . . . . . . . . . . . . . I148 I74 . 
I19 . . . . . . . I21 . . . . . . . . . . . . . . . . . . 
I109 . . . . I87 . . . . . . . . . . . . . . . . . . I149 I85 . 
I18 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I108 . . . . I87 . . . . . . . . . . . . . . . . . . I151 I85 . 
I130 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I20 . . . . . . . . I24 . . . . . . . . . . . . . . . . . 
I132 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I131 . . . . I118 . . . . . . . . . . . . I152 . . . . . I115 I116 . 
I22 . . . . . . . . I33 . I29 I31 I35 I32 I34 I36 I43 . . I41 I42 . . . . I46 
I134 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I21 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I133 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I24 . . . . I48 . . . . I49 . . . . . . . . . . . . . . . . 
I136 . . . . I118 . . . . . . . . . . . . . . . . . . I153 I116 . 
I23 . . . . . . . . . . . . . . . . . . . . . . . . . . 
I135 . . . . I118 . . . . . . . . . . . . . . . . . . I155 I116 . 
